time;W-power.real.c.ELECTRICITY;Wh-energy.c.ELECTRICITY
0;133.0;2.216666666666667
60;133.0;2.216666666666667
120;133.0;2.216666666666667
180;133.0;2.216666666666667
240;133.0;2.216666666666667
300;133.0;2.216666666666667
360;133.0;2.216666666666667
420;133.0;2.216666666666667
480;133.0;2.216666666666667
540;133.0;2.216666666666667
600;133.0;2.216666666666667
660;133.0;2.216666666666667
720;133.0;2.216666666666667
780;133.0;2.216666666666667
840;133.0;2.216666666666667
900;133.0;2.216666666666667
960;133.0;2.216666666666667
1020;133.0;2.216666666666667
1080;133.0;2.216666666666667
1140;133.0;2.216666666666667
1200;133.0;2.216666666666667
1260;133.0;2.216666666666667
1320;133.0;2.216666666666667
1380;235.0;3.9166666666666665
1440;235.0;3.9166666666666665
1500;235.0;3.9166666666666665
1560;235.0;3.9166666666666665
1620;235.0;3.9166666666666665
1680;235.0;3.9166666666666665
1740;235.0;3.9166666666666665
1800;235.0;3.9166666666666665
1860;235.0;3.9166666666666665
1920;235.0;3.9166666666666665
1980;235.0;3.9166666666666665
2040;235.0;3.9166666666666665
2100;235.0;3.9166666666666665
2160;235.0;3.9166666666666665
2220;133.0;2.216666666666667
2280;133.0;2.216666666666667
2340;133.0;2.216666666666667
2400;133.0;2.216666666666667
2460;133.0;2.216666666666667
2520;133.0;2.216666666666667
2580;133.0;2.216666666666667
2640;133.0;2.216666666666667
2700;133.0;2.216666666666667
2760;133.0;2.216666666666667
2820;133.0;2.216666666666667
2880;133.0;2.216666666666667
2940;133.0;2.216666666666667
3000;133.0;2.216666666666667
3060;133.0;2.216666666666667
3120;133.0;2.216666666666667
3180;133.0;2.216666666666667
3240;133.0;2.216666666666667
3300;133.0;2.216666666666667
3360;133.0;2.216666666666667
3420;133.0;2.216666666666667
3480;133.0;2.216666666666667
3540;133.0;2.216666666666667
3600;133.0;2.216666666666667
3660;133.0;2.216666666666667
3720;133.0;2.216666666666667
3780;133.0;2.216666666666667
3840;133.0;2.216666666666667
3900;133.0;2.216666666666667
3960;133.0;2.216666666666667
4020;133.0;2.216666666666667
4080;133.0;2.216666666666667
4140;133.0;2.216666666666667
4200;133.0;2.216666666666667
4260;133.0;2.216666666666667
4320;133.0;2.216666666666667
4380;133.0;2.216666666666667
4440;133.0;2.216666666666667
4500;133.0;2.216666666666667
4560;133.0;2.216666666666667
4620;133.0;2.216666666666667
4680;235.0;3.9166666666666665
4740;235.0;3.9166666666666665
4800;235.0;3.9166666666666665
4860;235.0;3.9166666666666665
4920;235.0;3.9166666666666665
4980;235.0;3.9166666666666665
5040;235.0;3.9166666666666665
5100;235.0;3.9166666666666665
5160;235.0;3.9166666666666665
5220;235.0;3.9166666666666665
5280;235.0;3.9166666666666665
5340;235.0;3.9166666666666665
5400;235.0;3.9166666666666665
5460;235.0;3.9166666666666665
5520;133.0;2.216666666666667
5580;133.0;2.216666666666667
5640;133.0;2.216666666666667
5700;133.0;2.216666666666667
5760;133.0;2.216666666666667
5820;133.0;2.216666666666667
5880;133.0;2.216666666666667
5940;133.0;2.216666666666667
6000;133.0;2.216666666666667
6060;133.0;2.216666666666667
6120;133.0;2.216666666666667
6180;133.0;2.216666666666667
6240;133.0;2.216666666666667
6300;133.0;2.216666666666667
6360;133.0;2.216666666666667
6420;133.0;2.216666666666667
6480;133.0;2.216666666666667
6540;133.0;2.216666666666667
6600;133.0;2.216666666666667
6660;133.0;2.216666666666667
6720;133.0;2.216666666666667
6780;133.0;2.216666666666667
6840;133.0;2.216666666666667
6900;133.0;2.216666666666667
6960;133.0;2.216666666666667
7020;133.0;2.216666666666667
7080;133.0;2.216666666666667
7140;133.0;2.216666666666667
7200;133.0;2.216666666666667
7260;133.0;2.216666666666667
7320;133.0;2.216666666666667
7380;133.0;2.216666666666667
7440;133.0;2.216666666666667
7500;133.0;2.216666666666667
7560;133.0;2.216666666666667
7620;133.0;2.216666666666667
7680;133.0;2.216666666666667
7740;133.0;2.216666666666667
7800;133.0;2.216666666666667
7860;133.0;2.216666666666667
7920;133.0;2.216666666666667
7980;235.0;3.9166666666666665
8040;235.0;3.9166666666666665
8100;235.0;3.9166666666666665
8160;235.0;3.9166666666666665
8220;235.0;3.9166666666666665
8280;235.0;3.9166666666666665
8340;235.0;3.9166666666666665
8400;235.0;3.9166666666666665
8460;235.0;3.9166666666666665
8520;235.0;3.9166666666666665
8580;235.0;3.9166666666666665
8640;235.0;3.9166666666666665
8700;235.0;3.9166666666666665
8760;235.0;3.9166666666666665
8820;133.0;2.216666666666667
8880;133.0;2.216666666666667
8940;133.0;2.216666666666667
9000;133.0;2.216666666666667
9060;133.0;2.216666666666667
9120;133.0;2.216666666666667
9180;133.0;2.216666666666667
9240;133.0;2.216666666666667
9300;133.0;2.216666666666667
9360;133.0;2.216666666666667
9420;133.0;2.216666666666667
9480;133.0;2.216666666666667
9540;133.0;2.216666666666667
9600;133.0;2.216666666666667
9660;133.0;2.216666666666667
9720;133.0;2.216666666666667
9780;133.0;2.216666666666667
9840;133.0;2.216666666666667
9900;133.0;2.216666666666667
9960;133.0;2.216666666666667
10020;133.0;2.216666666666667
10080;133.0;2.216666666666667
10140;133.0;2.216666666666667
10200;133.0;2.216666666666667
10260;133.0;2.216666666666667
10320;133.0;2.216666666666667
10380;133.0;2.216666666666667
10440;133.0;2.216666666666667
10500;133.0;2.216666666666667
10560;133.0;2.216666666666667
10620;133.0;2.216666666666667
10680;133.0;2.216666666666667
10740;133.0;2.216666666666667
10800;133.0;2.216666666666667
10860;133.0;2.216666666666667
