time;W-power.real.c.ELECTRICITY;W-power.plan.real.c.ELECTRICITY;Wh-energy.soc;W-power.real.secondary
0;257.0;244.0478403159068;2000.0;0
60;257.0;244.0478403159068;2004.2833333333333;0
120;257.0;244.0478403159068;2008.5666666666666;0
180;257.0;244.0478403159068;2012.85;0
240;257.0;244.0478403159068;2017.1333333333332;0
300;257.0;244.0478403159068;2021.4166666666665;0
360;257.0;244.0478403159068;2025.6999999999998;0
420;257.0;244.0478403159068;2029.9833333333331;0
480;257.0;244.0478403159068;2034.2666666666664;0
540;257.0;244.0478403159068;2038.5499999999997;0
600;257.0;244.0478403159068;2042.833333333333;0
660;257.0;244.0478403159068;2047.1166666666663;0
720;257.0;244.0478403159068;2051.3999999999996;0
780;257.0;244.0478403159068;2055.683333333333;0
840;257.0;244.0478403159068;2059.9666666666662;0
900;264.0;234.07663198257342;2064.2499999999995;0
960;264.0;234.07663198257342;2068.6499999999996;0
1020;264.0;234.07663198257342;2073.0499999999997;0
1080;264.0;234.07663198257342;2077.45;0
1140;264.0;234.07663198257342;2081.85;0
1200;264.0;234.07663198257342;2086.25;0
1260;264.0;234.07663198257342;2090.65;0
1320;264.0;234.07663198257342;2095.05;0
1380;264.0;234.07663198257342;2099.4500000000003;0
1440;264.0;234.07663198257342;2103.8500000000004;0
1500;264.0;234.07663198257342;2108.2500000000005;0
1560;264.0;234.07663198257342;2112.6500000000005;0
1620;264.0;234.07663198257342;2117.0500000000006;0
1680;264.0;234.07663198257342;2121.4500000000007;0
1740;264.0;234.07663198257342;2125.850000000001;0
1800;268.0;206.28446531590635;2130.250000000001;0
1860;268.0;206.28446531590635;2134.7166666666676;0
1920;217.0;206.28446531590635;2139.1833333333343;0
1980;217.0;206.28446531590635;2142.800000000001;0
2040;217.0;206.28446531590635;2146.416666666668;0
2100;217.0;206.28446531590635;2150.0333333333347;0
2160;165.0;206.28446531590635;2153.6500000000015;0
2220;165.0;206.28446531590635;2156.4000000000015;0
2280;165.0;206.28446531590635;2159.1500000000015;0
2340;165.0;206.28446531590635;2161.9000000000015;0
2400;165.0;206.28446531590635;2164.6500000000015;0
2460;165.0;206.28446531590635;2167.4000000000015;0
2520;165.0;206.28446531590635;2170.1500000000015;0
2580;165.0;206.28446531590635;2172.9000000000015;0
2640;165.0;206.28446531590635;2175.6500000000015;0
2700;235.0;284.8598819825738;2178.4000000000015;0
2760;235.0;284.8598819825738;2182.316666666668;0
2820;235.0;284.8598819825738;2186.2333333333345;0
2880;235.0;284.8598819825738;2190.150000000001;0
2940;235.0;284.8598819825738;2194.0666666666675;0
3000;287.0;284.8598819825738;2197.983333333334;0
3060;287.0;284.8598819825738;2202.7666666666673;0
3120;287.0;284.8598819825738;2207.5500000000006;0
3180;287.0;284.8598819825738;2212.333333333334;0
3240;287.0;284.8598819825738;2217.1166666666672;0
3300;287.0;284.8598819825738;2221.9000000000005;0
3360;287.0;284.8598819825738;2226.683333333334;0
3420;287.0;284.8598819825738;2231.466666666667;0
3480;287.0;284.8598819825738;2236.2500000000005;0
3540;287.0;284.8598819825738;2241.0333333333338;0
3600;272.0;259.2231736492404;2245.816666666667;0
3660;272.0;259.2231736492404;2250.3500000000004;0
3720;272.0;259.2231736492404;2254.8833333333337;0
3780;272.0;259.2231736492404;2259.416666666667;0
3840;272.0;259.2231736492404;2263.9500000000003;0
3900;272.0;259.2231736492404;2268.4833333333336;0
3960;272.0;259.2231736492404;2273.016666666667;0
4020;272.0;259.2231736492404;2277.55;0
4080;272.0;259.2231736492404;2282.0833333333335;0
4140;272.0;259.2231736492404;2286.616666666667;0
4200;272.0;259.2231736492404;2291.15;0
4260;272.0;259.2231736492404;2295.6833333333334;0
4320;272.0;259.2231736492404;2300.2166666666667;0
4380;272.0;259.2231736492404;2304.75;0
4440;272.0;259.2231736492404;2309.2833333333333;0
4500;271.0;229.0616319825731;2313.8166666666666;0
4560;271.0;229.0616319825731;2318.3333333333335;0
4620;271.0;229.0616319825731;2322.8500000000004;0
4680;271.0;229.0616319825731;2327.3666666666672;0
4740;271.0;229.0616319825731;2331.883333333334;0
4800;271.0;229.0616319825731;2336.400000000001;0
4860;271.0;229.0616319825731;2340.916666666668;0
4920;271.0;229.0616319825731;2345.4333333333348;0
4980;271.0;229.0616319825731;2349.9500000000016;0
5040;271.0;229.0616319825731;2354.4666666666685;0
5100;271.0;229.0616319825731;2358.9833333333354;0
5160;271.0;229.0616319825731;2363.5000000000023;0
5220;271.0;229.0616319825731;2368.016666666669;0
5280;168.0;229.0616319825731;2372.533333333336;0
5340;168.0;229.0616319825731;2375.333333333336;0
5400;170.0;237.12317364924002;2378.1333333333364;0
5460;170.0;237.12317364924002;2380.96666666667;0
5520;170.0;237.12317364924002;2383.8000000000034;0
5580;170.0;237.12317364924002;2386.633333333337;0
5640;170.0;237.12317364924002;2389.4666666666703;0
5700;163.0;226.03033145148174;2392.300000000004;0
5760;163.0;226.03033145148174;2395.0166666666705;0
5820;163.0;226.03033145148174;2397.733333333337;0
5880;163.0;226.03033145148174;2400.450000000004;0
5940;163.0;226.03033145148174;2403.1666666666706;0
6000;163.0;226.03033145148174;2405.8833333333373;0
6060;214.0;226.03033145148174;2408.600000000004;0
6120;266.0;226.03033145148174;2412.1666666666706;0
6180;266.0;226.03033145148174;2416.600000000004;0
6240;266.0;226.03033145148174;2421.0333333333374;0
6300;278.0;270.66666478481466;2425.466666666671;0
6360;278.0;270.66666478481466;2430.100000000004;0
6420;278.0;270.66666478481466;2434.733333333337;0
6480;278.0;270.66666478481466;2439.3666666666704;0
6540;278.0;270.66666478481466;2444.0000000000036;0
6600;278.0;270.66666478481466;2448.633333333337;0
6660;278.0;270.66666478481466;2453.26666666667;0
6720;278.0;270.66666478481466;2457.9000000000033;0
6780;278.0;270.66666478481466;2462.5333333333365;0
6840;278.0;270.66666478481466;2467.1666666666697;0
6900;278.0;270.66666478481466;2471.800000000003;0
6960;278.0;270.66666478481466;2476.433333333336;0
7020;278.0;270.66666478481466;2481.0666666666693;0
7080;278.0;270.66666478481466;2485.7000000000025;0
7140;278.0;270.66666478481466;2490.3333333333358;0
7200;260.0;237.98416478481568;2494.966666666669;0
7260;260.0;237.98416478481568;2499.3000000000025;0
7320;260.0;237.98416478481568;2503.633333333336;0
7380;260.0;237.98416478481568;2507.9666666666694;0
7440;260.0;237.98416478481568;2512.300000000003;0
7500;260.0;237.98416478481568;2516.6333333333364;0
7560;260.0;237.98416478481568;2520.96666666667;0
7620;260.0;237.98416478481568;2525.3000000000034;0
7680;260.0;237.98416478481568;2529.633333333337;0
7740;260.0;237.98416478481568;2533.9666666666703;0
7800;260.0;237.98416478481568;2538.300000000004;0
7860;260.0;237.98416478481568;2542.6333333333373;0
7920;260.0;237.98416478481568;2546.966666666671;0
7980;260.0;237.98416478481568;2551.3000000000043;0
8040;260.0;237.98416478481568;2555.6333333333378;0
8100;257.0;211.26583145148288;2559.9666666666712;0
8160;257.0;211.26583145148288;2564.2500000000045;0
8220;257.0;211.26583145148288;2568.533333333338;0
8280;257.0;211.26583145148288;2572.816666666671;0
8340;257.0;211.26583145148288;2577.1000000000045;0
8400;205.0;211.26583145148288;2581.3833333333378;0
8460;205.0;211.26583145148288;2584.8000000000043;0
8520;205.0;211.26583145148288;2588.216666666671;0
8580;205.0;211.26583145148288;2591.6333333333373;0
8640;154.0;211.26583145148288;2595.050000000004;0
8700;154.0;211.26583145148288;2597.6166666666704;0
8760;154.0;211.26583145148288;2600.183333333337;0
8820;154.0;211.26583145148288;2602.7500000000036;0
8880;154.0;211.26583145148288;2605.3166666666702;0
