time;W-power.real.c.NATGAS;W-power.real.c.HEAT;W-heat.supply.dhwtaps;W-heat.supply.zones;W-heat.production;Wh-energy.soc
5220;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
5280;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
5340;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
5400;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
5460;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
5520;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
5580;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
5640;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
5700;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
5760;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
5820;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
5880;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
5940;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
6000;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
6060;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
6120;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
6180;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
6240;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
6300;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
6360;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
6420;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
6480;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
6540;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
6600;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
6660;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
6720;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
6780;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
6840;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
6900;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
6960;9375.0;-7500.0;0.0;-7500.0;7500.0;25000.0
