time;SmartMeter-House-8: W-power.real.c.ELECTRICITY;Battery-House-8: W-power.real.c.ELECTRICITY;Battery-House-8: Wh-energy.soc;DishWasher-House-8: W-power.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-8: W-power.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-8: Wh-energy.soc;Load-House-8: W-power.real.c.ELECTRICITY;HeatPump-House-8: W-power.real.c.ELECTRICITY;HeatPump-House-8: Wh-energy.soc;PV-House-8: W-power.real.c.ELECTRICITY;WashingMachine-House-8: W-power.real.c.ELECTRICITY
351420;834.0;643.0;1197.7833333333283;0.0;0.0;0.0;191.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
351480;834.0;643.0;1208.499999999995;0.0;0.0;0.0;191.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
351540;834.0;643.0;1219.2166666666617;0.0;0.0;0.0;191.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
351600;834.0;591.0;1229.9333333333284;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
351660;834.0;591.0;1239.7833333333283;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
351720;834.0;591.0;1249.6333333333282;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
351780;834.0;591.0;1259.4833333333281;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
351840;834.0;591.0;1269.333333333328;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
351900;910.0;667.0;1279.183333333328;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
351960;910.0;667.0;1290.2999999999945;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
352020;910.0;667.0;1301.416666666661;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
352080;910.0;667.0;1312.5333333333276;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
352140;910.0;718.0;1323.6499999999942;0.0;0.0;0.0;192.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
352200;910.0;718.0;1335.6166666666609;0.0;0.0;0.0;192.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
352260;910.0;718.0;1347.5833333333276;0.0;0.0;0.0;192.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
352320;910.0;718.0;1359.5499999999943;0.0;0.0;0.0;192.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
352380;910.0;718.0;1371.516666666661;0.0;0.0;0.0;192.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
352440;910.0;770.0;1383.4833333333277;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
352500;910.0;770.0;1396.316666666661;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
352560;910.0;770.0;1409.1499999999942;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
352620;910.0;770.0;1421.9833333333274;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
352680;910.0;770.0;1434.8166666666607;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
352740;910.0;770.0;1447.649999999994;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
352800;-855.0;-996.0;1460.4833333333272;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
352860;-855.0;-996.0;1443.8833333333273;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
352920;-855.0;-996.0;1427.2833333333274;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
352980;-855.0;-996.0;1410.6833333333275;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
353040;-855.0;-996.0;1394.0833333333276;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
353100;-855.0;-996.0;1377.4833333333277;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
353160;-855.0;-996.0;1360.8833333333278;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
353220;-855.0;-996.0;1344.2833333333278;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
353280;-855.0;-996.0;1327.683333333328;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
353340;-855.0;-996.0;1311.083333333328;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
353400;-855.0;-996.0;1294.4833333333281;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
353460;-855.0;-996.0;1277.8833333333282;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
353520;-855.0;-996.0;1261.2833333333283;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
353580;-855.0;-996.0;1244.6833333333284;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
353640;-855.0;-996.0;1228.0833333333285;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
353700;431.0;291.0;1211.4833333333286;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
353760;431.0;291.0;1216.3333333333285;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
353820;431.0;291.0;1221.1833333333284;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
353880;431.0;291.0;1226.0333333333283;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
353940;431.0;291.0;1230.8833333333282;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
354000;431.0;291.0;1235.7333333333281;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
354060;431.0;291.0;1240.583333333328;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
354120;431.0;291.0;1245.433333333328;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
354180;431.0;291.0;1250.2833333333278;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
354240;431.0;291.0;1255.1333333333278;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
354300;431.0;291.0;1259.9833333333277;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
354360;431.0;291.0;1264.8333333333276;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
354420;431.0;291.0;1269.6833333333275;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
354480;431.0;291.0;1274.5333333333274;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
354540;431.0;291.0;1279.3833333333273;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
354600;399.0;259.0;1284.2333333333272;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
354660;399.0;259.0;1288.5499999999938;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
354720;399.0;156.0;1292.8666666666604;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
354780;399.0;156.0;1295.4666666666603;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
354840;399.0;156.0;1298.0666666666602;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
354900;399.0;156.0;1300.6666666666601;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
354960;399.0;156.0;1303.26666666666;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
355020;399.0;156.0;1305.86666666666;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
355080;399.0;156.0;1308.4666666666599;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
355140;399.0;156.0;1311.0666666666598;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
355200;399.0;156.0;1313.6666666666597;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
355260;399.0;156.0;1316.2666666666596;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
355320;399.0;156.0;1318.8666666666595;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
355380;399.0;156.0;1321.4666666666594;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
355440;399.0;156.0;1324.0666666666593;0.0;0.0;0.0;243.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
355500;-559.0;-752.0;1326.6666666666592;0.0;0.0;0.0;192.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
355560;-559.0;-700.0;1314.133333333326;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
355620;-559.0;-700.0;1302.4666666666592;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
355680;-559.0;-700.0;1290.7999999999925;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
355740;-559.0;-700.0;1279.1333333333257;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
355800;-559.0;-700.0;1267.466666666659;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
355860;-559.0;-700.0;1255.7999999999922;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
355920;-559.0;-700.0;1244.1333333333255;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
355980;-559.0;-700.0;1232.4666666666587;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
356040;-559.0;-700.0;1220.799999999992;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
356100;-559.0;-700.0;1209.1333333333253;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
356160;-559.0;-700.0;1197.4666666666585;0.0;0.0;0.0;140.0;3.4180356439178675e-13;27225.234819439447;-0.0;0.0
