Load;C-temperature.inside;18.49840153534755
Load;W-power.real.c.HEAT;0.0
Load;C-temperature.inside;18.496804543806224
Load;W-power.real.c.HEAT;2214.5487804578884
Load;C-temperature.inside;18.495214736391084
Load;W-power.real.c.HEAT;2561.7558940521594
Load;C-temperature.inside;18.493632979950036
Load;W-power.real.c.HEAT;2926.7795533281133
Load;C-temperature.inside;18.49206018368671
Load;W-power.real.c.HEAT;3318.313401348278
Load;C-temperature.inside;18.490497321423877
Load;W-power.real.c.HEAT;3734.0905270456187
Load;C-temperature.inside;18.48894542548066
Load;W-power.real.c.HEAT;4175.523098445631
Load;C-temperature.inside;18.48740559007233
Load;W-power.real.c.HEAT;4644.10516620122
Load;C-temperature.inside;18.485878974907187
Load;W-power.real.c.HEAT;5141.417409755962
Load;C-temperature.inside;18.48436680899198
Load;W-power.real.c.HEAT;5669.132158600442
Load;C-temperature.inside;18.482870394657912
Load;W-power.real.c.HEAT;6229.018704567288
Load;C-temperature.inside;18.481391111820077
Load;W-power.real.c.HEAT;6828.0739220357345
Load;C-temperature.inside;18.479930435713133
Load;W-power.real.c.HEAT;7458.369880555368
Load;C-temperature.inside;18.478522301492738
Load;W-power.real.c.HEAT;7500.0
Load;C-temperature.inside;18.477134317490737
Load;W-power.real.c.HEAT;7500.0
Load;C-temperature.inside;18.47576639989273
Load;W-power.real.c.HEAT;7500.0
Load;C-temperature.inside;18.47441846522679
Load;W-power.real.c.HEAT;7500.0
Load;C-temperature.inside;18.473090430362063
Load;W-power.real.c.HEAT;7500.0
Load;C-temperature.inside;18.471782212507378
Load;W-power.real.c.HEAT;7500.0
Load;C-temperature.inside;18.47049372920986
Load;W-power.real.c.HEAT;7500.0
Load;C-temperature.inside;18.46922489835354
Load;W-power.real.c.HEAT;7500.0
Load;C-temperature.inside;18.467975638157995
Load;W-power.real.c.HEAT;7500.0
Load;C-temperature.inside;18.466745867176957
Load;W-power.real.c.HEAT;7500.0
Load;C-temperature.inside;18.465535504296966
Load;W-power.real.c.HEAT;7500.0
Load;C-temperature.inside;18.464344468736
Load;W-power.real.c.HEAT;7500.0
Load;C-temperature.inside;18.463172680042135
Load;W-power.real.c.HEAT;7500.0
Load;C-temperature.inside;18.461987672626137
Load;W-power.real.c.HEAT;7500.0
Load;C-temperature.inside;18.460821782004004
Load;W-power.real.c.HEAT;7500.0
Load;C-temperature.inside;18.4596749285949
Load;W-power.real.c.HEAT;7500.0
Load;C-temperature.inside;18.45854703314317
Load;W-power.real.c.HEAT;7500.0
Load;C-temperature.inside;18.45743801671701
Load;W-power.real.c.HEAT;7500.0
Load;C-temperature.inside;18.456347800707146
Load;W-power.real.c.HEAT;7500.0
Load;C-temperature.inside;18.455276306825517
Load;W-power.real.c.HEAT;7500.0
Load;C-temperature.inside;18.454223457103964
Load;W-power.real.c.HEAT;7500.0
