time;ElectricVehicle-House-0: W-power.real.c.ELECTRICITY;ElectricVehicle-House-0: Wh-energy.soc;Load-House-0: W-power.real.c.ELECTRICITY;Load-House-0: W-power.plan.real.c.ELECTRICITY
0;0.0;50000.0;136.0;175.47916666666669
60;0.0;50000.0;136.0;175.47916666666669
120;0.0;50000.0;136.0;175.47916666666669
180;0.0;50000.0;136.0;175.47916666666669
240;0.0;50000.0;136.0;175.47916666666669
300;0.0;50000.0;136.0;175.47916666666669
360;0.0;50000.0;136.0;175.47916666666669
420;0.0;50000.0;136.0;175.47916666666669
480;0.0;50000.0;136.0;175.47916666666669
540;0.0;50000.0;136.0;175.47916666666669
600;0.0;50000.0;136.0;175.47916666666669
660;0.0;50000.0;136.0;175.47916666666669
720;0.0;50000.0;136.0;175.47916666666669
780;0.0;50000.0;136.0;175.47916666666669
840;0.0;50000.0;136.0;175.47916666666669
900;0.0;50000.0;136.0;175.12083333333334
960;0.0;50000.0;136.0;175.12083333333334
1020;0.0;50000.0;136.0;175.12083333333334
1080;0.0;50000.0;136.0;175.12083333333334
1140;0.0;50000.0;136.0;175.12083333333334
1200;0.0;50000.0;136.0;175.12083333333334
1260;0.0;50000.0;136.0;175.12083333333334
1320;0.0;50000.0;136.0;175.12083333333334
1380;0.0;50000.0;136.0;175.12083333333334
1440;0.0;50000.0;136.0;175.12083333333334
1500;0.0;50000.0;136.0;175.12083333333334
1560;0.0;50000.0;136.0;175.12083333333334
1620;0.0;50000.0;136.0;175.12083333333334
1680;0.0;50000.0;136.0;175.12083333333334
1740;0.0;50000.0;136.0;175.12083333333334
1800;0.0;50000.0;136.0;153.025
1860;0.0;50000.0;136.0;153.025
1920;0.0;50000.0;136.0;153.025
1980;0.0;50000.0;136.0;153.025
2040;0.0;50000.0;186.0;153.025
2100;0.0;50000.0;250.0;153.025
2160;0.0;50000.0;250.0;153.025
2220;0.0;50000.0;250.0;153.025
2280;0.0;50000.0;250.0;153.025
2340;0.0;50000.0;250.0;153.025
2400;0.0;50000.0;250.0;153.025
2460;0.0;50000.0;250.0;153.025
2520;0.0;50000.0;250.0;153.025
2580;0.0;50000.0;250.0;153.025
2640;0.0;50000.0;250.0;153.025
2700;0.0;50000.0;250.0;171.42916666666667
2760;0.0;50000.0;250.0;171.42916666666667
2820;0.0;50000.0;200.0;171.42916666666667
2880;0.0;50000.0;136.0;171.42916666666667
2940;0.0;50000.0;136.0;171.42916666666667
3000;0.0;50000.0;136.0;171.42916666666667
3060;0.0;50000.0;136.0;171.42916666666667
3120;0.0;50000.0;136.0;171.42916666666667
3180;0.0;50000.0;136.0;171.42916666666667
3240;0.0;50000.0;136.0;171.42916666666667
3300;0.0;50000.0;136.0;171.42916666666667
3360;0.0;50000.0;136.0;171.42916666666667
3420;0.0;50000.0;136.0;171.42916666666667
3480;0.0;50000.0;136.0;171.42916666666667
3540;0.0;50000.0;136.0;171.42916666666667
3600;0.0;50000.0;136.0;165.64583333333331
3660;0.0;50000.0;136.0;165.64583333333331
3720;0.0;50000.0;136.0;165.64583333333331
3780;0.0;50000.0;136.0;165.64583333333331
3840;0.0;50000.0;136.0;165.64583333333331
3900;0.0;50000.0;136.0;165.64583333333331
3960;0.0;50000.0;136.0;165.64583333333331
4020;0.0;50000.0;136.0;165.64583333333331
4080;0.0;50000.0;136.0;165.64583333333331
4140;0.0;50000.0;136.0;165.64583333333331
4200;0.0;50000.0;136.0;165.64583333333331
4260;0.0;50000.0;136.0;165.64583333333331
4320;0.0;50000.0;136.0;165.64583333333331
4380;0.0;50000.0;136.0;165.64583333333331
4440;0.0;50000.0;136.0;165.64583333333331
4500;0.0;50000.0;136.0;163.87083333333334
4560;0.0;50000.0;136.0;163.87083333333334
4620;0.0;50000.0;136.0;163.87083333333334
4680;0.0;50000.0;136.0;163.87083333333334
4740;0.0;50000.0;136.0;163.87083333333334
4800;0.0;50000.0;136.0;163.87083333333334
4860;0.0;50000.0;136.0;163.87083333333334
4920;0.0;50000.0;136.0;163.87083333333334
4980;0.0;50000.0;136.0;163.87083333333334
5040;0.0;50000.0;136.0;163.87083333333334
5100;0.0;50000.0;186.0;163.87083333333334
5160;0.0;50000.0;186.0;163.87083333333334
5220;0.0;50000.0;186.0;163.87083333333334
