time;SmartMeter-House-8: W-power.real.c.ELECTRICITY;Load-House-8: W-power.real.c.ELECTRICITY;WashingMachine-House-8: W-power.real.c.ELECTRICITY;Dishwasher-House-8: W-power.real.c.ELECTRICITY;Battery-House-8: W-power.real.c.ELECTRICITY;Battery-House-8: Wh-energy.soc;Heatpump-House-8: W-power.real.c.ELECTRICITY;Heatpump-House-8: Wh-energy.soc;DomesticHotWaterControllerBoiler-House-8: W-power.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-8: Wh-energy.soc
586680;-1439.0;443.0;0.0;0.0;-1897.0;5000;14.614510980123205;20766.400544328935;0.0;0.0
586740;-1439.0;443.0;0.0;0.0;-1897.0;-1;14.614510980123205;20692.374845060942;0.0;0.0
586800;-762.0;443.0;0.0;0.0;-1220.0;5000;14.614510980123205;20618.34914579295;0.0;0.0
586860;-762.0;443.0;0.0;0.0;-1220.0;-1;14.614510980123205;20544.323446524955;0.0;0.0
586920;-762.0;443.0;0.0;0.0;-1220.0;5000;14.614510980123205;20470.297747256962;0.0;0.0
586980;-762.0;443.0;0.0;0.0;-1220.0;-1;14.614510980123205;20396.27204798897;0.0;0.0
587040;-762.0;443.0;0.0;0.0;-1220.0;5000;14.614510980123205;20322.246348720975;0.0;0.0
587100;-762.0;443.0;0.0;0.0;-1220.0;-1;14.614510980123205;20248.220649452982;0.0;0.0
587160;-762.0;443.0;0.0;0.0;-1220.0;5000;14.614510980123205;20174.19495018499;0.0;0.0
587220;-762.0;443.0;0.0;0.0;-1220.0;-1;14.614510980123205;20100.169250916995;0.0;0.0
587280;-762.0;443.0;0.0;0.0;-1220.0;5000;14.614510980123205;20026.143551649002;0.0;0.0
587340;-762.0;392.0;0.0;0.0;-1169.0;-1;14.614510980123205;19952.11785238101;0.0;0.0
587400;-762.0;392.0;0.0;0.0;-1169.0;5000;14.614510980123205;19878.092153113015;0.0;0.0
587460;-762.0;392.0;0.0;0.0;-1169.0;-1;14.614510980123205;19804.066453845022;0.0;0.0
587520;-762.0;392.0;0.0;0.0;-1169.0;5000;14.614510980123205;19730.04075457703;0.0;0.0
587580;-762.0;392.0;0.0;0.0;-1169.0;-1;14.614510980123205;19656.015055309035;0.0;0.0
587640;-762.0;392.0;0.0;0.0;-1169.0;5000;14.614510980123205;19581.989356041042;0.0;0.0
587700;404.0;392.0;0.0;0.0;-2.0;-1;14.614510980123205;19507.96365677305;0.0;0.0
587760;404.0;392.0;0.0;0.0;-2.0;5000;14.614510980123205;19433.937957505055;0.0;0.0
587820;404.0;392.0;0.0;0.0;-2.0;-1;14.614510980123205;19359.912258237062;0.0;0.0
587880;404.0;392.0;0.0;0.0;-2.0;5000;14.614510980123205;19285.88655896907;0.0;0.0
587940;404.0;392.0;0.0;0.0;-2.0;-1;14.614510980123205;19211.860859701075;0.0;0.0
588000;404.0;392.0;0.0;0.0;-2.0;5000;14.614510980123205;19137.835160433082;0.0;0.0
588060;404.0;392.0;0.0;0.0;-2.0;-1;14.614510980123205;19063.80946116509;0.0;0.0
588120;404.0;392.0;0.0;0.0;-2.0;5000;14.614510980123205;18989.783761897095;0.0;0.0
588180;404.0;392.0;0.0;0.0;-2.0;-1;14.614510980123205;18915.758062629102;0.0;0.0
588240;404.0;392.0;0.0;0.0;-2550.0;5000;14.614510980123205;18841.73236336111;2548.0;0.0
588300;404.0;392.0;0.0;0.0;-2.0;-1;14.614510980123205;18767.706664093115;0.0;0.0
588360;404.0;392.0;0.0;0.0;-2.0;5000;14.614510980123205;18693.680964825122;0.0;0.0
588420;404.0;392.0;0.0;0.0;-2.0;-1;14.614510980123205;18619.65526555713;0.0;0.0
588480;404.0;392.0;0.0;0.0;-2.0;5000;14.614510980123205;18545.629566289135;0.0;0.0
588540;404.0;392.0;0.0;0.0;-2.0;-1;14.614510980123205;18471.603867021142;0.0;0.0
588600;-694.0;392.0;0.0;0.0;-1101.0;5000;14.614510980123205;18397.57816775315;0.0;0.0
588660;-694.0;392.0;0.0;0.0;-1101.0;-1;14.614510980123205;18323.552468485155;0.0;0.0
588720;-694.0;444.0;0.0;0.0;-1153.0;5000;14.614510980123205;18249.526769217162;0.0;0.0
588780;-694.0;444.0;0.0;0.0;-1153.0;-1;14.614510980123205;18175.50106994917;0.0;0.0
588840;-694.0;444.0;0.0;0.0;-1153.0;5000;14.614510980123205;18101.475370681175;0.0;0.0
588900;-694.0;444.0;0.0;0.0;-1153.0;-1;14.614510980123205;18027.449671413182;0.0;0.0
588960;-694.0;444.0;0.0;0.0;-1153.0;5000;14.614510980123205;17953.42397214519;0.0;0.0
589020;-694.0;444.0;0.0;0.0;-1153.0;-1;14.614510980123205;17879.398272877195;0.0;0.0
589080;-694.0;444.0;0.0;0.0;-1153.0;5000;14.614510980123205;17805.372573609202;0.0;0.0
